date,walk_forward_portfolio,buy_and_hold_portfolio,dca_portfolio
2025-05-06,15619.121141882417,15357.403624809518,11908.997386980576
2025-05-07,15965.41260759072,15697.89255260513,12173.031715339517
2025-05-08,15997.807051910386,15729.74418830853,12197.731271047624
2025-05-09,17025.155107410763,16739.877768051098,12981.045850487466
2025-05-10,16977.404298352023,16692.92708232014,12944.637639350547
2025-05-11,17280.366875790736,16990.813150471746,13175.635306267659
2025-05-12,17166.35155575624,16878.708296858284,13088.702876713369
2025-05-13,16947.6165120367,16663.638426871577,12921.925563160688
2025-05-14,17163.99715497812,16876.39334695069,13086.907733922693
2025-05-15,17065.75038469287,16779.79282170995,13011.998235495863
2025-05-16,17107.93834485429,16821.273870894533,13044.164981803837
2025-05-17,17058.507469694076,16772.671270628667,13006.475782919228
2025-05-18,17002.90371182148,16717.999221865575,12964.079991171677
2025-05-19,17551.541745244765,17257.44415264404,13382.396031305074
2025-05-20,17406.363589701003,17114.698635022534,13271.703101830235
2025-05-21,17616.78733487537,17321.596472457284,13432.143360195389
2025-05-22,18077.443653506805,17774.53392990306,13783.376623901073
2025-05-23,18415.8030308793,18107.223681224266,14041.36303071524
2025-05-24,17693.997830981334,17397.513212074053,13491.013484066043
2025-05-25,17767.13593918677,17469.425801640566,13546.77856403406
2025-05-26,17971.958914442883,17670.81671692118,13702.948444205991
2025-05-27,18042.950363115327,17740.618616866064,13757.076776335452
2025-05-28,17961.07228395414,17660.11250526862,13694.647794453313
2025-05-29,17770.413634387678,17472.648575041338,13549.277684389706
2025-05-30,17409.0048712462,17117.295658658368,13273.716980507168
